SIGLA   ,ASIGNATURA                                          ,ID_SUBAREA
BIO340  ,BIOPROCESOS                                         ,16
BIO440  ,BIOLOGÍA SINTÉTICA                                  ,16
BIO442  ,BIOINGENIERÍA AMBIENTAL                             ,16
EYM344  ,FUNDAMENTOS DE INGENIERÍA Y CIENCIAS AMBIENTALES    ,16
EYM403  ,SUSTAINABLE CONSTRUCTION                            ,16
EYM404  ,TRANSFERENCIA DE CALOR INTERMEDIA                   ,16
EYM421  ,TECNOLOGÍAS DE GENERACIÓN NO CONVENCIONALES         ,16
EYM422  ,EFICIENCIA ENERGÉTICA                               ,16
EYM443  ,SUSTENTABILIDAD EMPRESARIAL                         ,16
EYM445  ,REGULACIÓN Y GESTIÓN AMBIENTAL                      ,16
EYM456  ,REGULACIÓN Y GESTIÓN ENERGÉTICA                     ,16
EYM460  ,PROYECTO DE ELECTROMOVILIDAD Y ENERGÍA SOLAR        ,16
EYM470  ,PROYECTO DE ELECTROMOVILIDAD Y ENERGIA SOLAR II     ,16
EYM472  ,PROYECTO DE ELECTROMOVILIDAD Y ENERGÍA SOLAR V      ,16
IND423  ,ORGANIZACIÓN INDUSTRIAL                             ,16
IND424  ,GESTIÓN FINANCIERA                                  ,16
IND425  ,ESTRATEGIA Y MARKETING                              ,16
IND428  ,ORGANIZACIONES Y PERSONAS                           ,16
IND429  ,GESTIÓN DE OPERACIONES AVANZADAS                    ,16
IND438  ,INGENIERÍA DE TRANSPORTE                            ,16
IND553  ,MERCADOS DE ENERGÍA Y MEDIOAMBIENTE                 ,16
IND554  ,TEORÍA DE JUEGOS Y APLICACIONES EN ECONOMÍA         ,16
IND555  ,ECONOMÍA CIRCULAR                                   ,16
ING451  ,TALLER DE PROYECTOS DE INGENIERÍA                   ,16
ING498  ,PASANTÍA PART-TIME I                                ,16
ING499  ,PASANTÍA PART-TIME II                               ,16
ING500  ,PASANTÍA FULL-TIME                                  ,16
ING610  ,ESCUELA DE LA EXPERIENCIA                           ,16
ING800  ,EMPRENDIMIENTO FULL TIME                            ,16
ING801  ,EMPRENDIMIENTO PART - TIME I                        ,16
ING802  ,EMPRENDIMIENTO PART - TIME II                       ,16
MEC500  ,GESTIÓN DE ACTIVOS                                  ,16
MEC511  ,TURBOMÁQUINAS                                       ,16
MIN215  ,"SIMULACIÓN, AUTOMATIZACIÓN Y MECATRÓNICA"          ,16
MIN420  ,PROYECTOS MINEROS                                   ,16
MIN421  ,PROCESAMIENTO DE MINERALES                          ,16
MIN422  ,INGENIERÍA DE EXCAVACIONES                          ,16
MIN423  ,CAMBIO CLIMÁTICO                                    ,16
MIN441  ,GEOTECNIA Y MECÁNICA DE ROCAS                       ,16
MIN451  ,METALURGIA EXTRACTIVA                               ,16
OCIV435 ,HIDRÁULICA E HIDROLOGÍA                             ,16
OCIV441 ,PROJECT MANAGEMENT                                  ,16
OCIV451 ,INGENIERÍA SISMO-RESISTENTE                         ,16
OCIV461 ,TENDENCIAS EN LA INDUSTRIA DE LA CONSTRUCCIÓN       ,16
OCIV462 ,GESTIÓN Y CONSTRUCCIÓN AVANZADA                     ,16
